iter	Passed	Remaining
0	1	154
1	2	141
2	4	132
3	5	122
4	6	123
5	8	126
6	10	138
7	11	134
8	13	131
9	14	128
10	15	125
11	16	123
12	17	120
13	19	118
14	20	116
15	21	114
16	24	118
17	25	117
18	27	115
19	28	112
20	29	110
21	30	108
22	31	106
23	32	104
24	34	102
25	35	100
26	36	98
27	37	96
28	40	98
29	41	96
30	42	95
31	44	93
32	45	92
33	46	90
34	47	88
35	49	87
36	50	85
37	51	84
38	53	83
39	55	82
40	56	81
41	57	78
42	58	77
43	59	75
44	60	74
45	61	72
46	63	71
47	64	70
48	65	68
49	67	67
50	69	66
51	71	65
52	72	64
53	73	62
54	74	61
55	76	59
56	77	58
57	78	56
58	79	55
59	81	54
60	82	52
61	84	51
62	85	50
63	87	48
64	88	47
65	89	46
66	90	44
67	92	43
68	93	41
69	94	40
70	95	39
71	97	37
72	99	36
73	100	35
74	102	34
75	103	32
76	104	31
77	105	29
78	107	28
79	108	27
80	109	25
81	110	24
82	112	23
83	114	21
84	115	20
85	117	19
86	118	17
87	119	16
88	121	14
89	122	13
90	123	12
91	125	10
92	126	9
93	129	8
94	130	6
95	132	5
96	134	4
97	136	2
98	139	1
99	140	0
