iter	Passed	Remaining
0	157	157638
1	161	80832
2	166	55329
3	174	43503
4	178	35571
5	182	30303
6	189	26919
7	194	24057
8	199	21928
9	203	20160
10	207	18661
11	215	17706
12	219	16636
13	223	15724
14	230	15121
15	234	14442
16	238	13817
17	249	13598
18	253	13101
19	260	12787
20	264	12350
21	268	11954
22	276	11729
23	280	11389
24	283	11075
25	290	10896
26	294	10625
27	298	10374
28	305	10242
29	309	10015
30	313	9803
31	320	9680
32	324	9502
33	328	9323
34	338	9331
35	343	9195
36	350	9128
37	357	9041
38	364	8975
39	368	8835
40	380	8902
41	386	8822
42	395	8804
43	403	8765
44	412	8746
45	421	8740
46	425	8625
47	429	8514
48	440	8551
49	444	8453
50	452	8428
51	456	8324
52	460	8233
53	472	8274
54	482	8285
55	486	8207
56	496	8213
57	502	8159
58	513	8194
59	518	8120
60	526	8101
61	530	8023
62	534	7948
63	543	7941
64	548	7892
65	558	7907
66	564	7866
67	569	7802
68	573	7738
69	580	7714
70	584	7650
71	589	7594
72	596	7575
73	600	7516
74	604	7455
75	611	7437
76	615	7379
77	619	7323
78	627	7311
79	632	7268
80	636	7223
81	643	7203
82	645	7133
83	649	7082
84	657	7074
85	661	7028
86	665	6979
87	679	7041
88	683	6995
89	690	6978
90	694	6932
91	699	6900
92	705	6879
93	709	6833
94	712	6791
95	719	6777
96	726	6761
97	734	6763
98	739	6727
99	743	6691
100	750	6678
101	755	6649
102	760	6620
103	777	6699
104	798	6802
105	811	6845
106	819	6842
107	824	6806
108	828	6775
109	841	6805
110	844	6766
111	853	6768
112	858	6740
113	862	6707
114	869	6691
115	873	6656
116	876	6617
117	883	6606
118	887	6573
119	891	6539
120	899	6535
121	902	6497
122	907	6467
123	913	6452
124	917	6420
125	921	6390
126	927	6373
127	932	6351
128	936	6323
129	945	6329
130	951	6310
131	959	6306
132	963	6281
133	968	6257
134	974	6244
135	978	6215
136	982	6192
137	989	6182
138	994	6158
139	997	6130
140	1002	6110
141	1005	6077
142	1010	6054
143	1014	6028
144	1020	6017
145	1025	5996
146	1028	5970
147	1035	5959
148	1039	5936
149	1043	5913
150	1050	5903
151	1054	5881
152	1057	5856
153	1062	5837
154	1068	5824
155	1072	5800
156	1076	5780
157	1082	5767
158	1086	5745
159	1090	5722
160	1096	5712
161	1100	5692
162	1104	5670
163	1111	5663
164	1115	5643
165	1119	5625
166	1126	5620
167	1130	5599
168	1138	5595
169	1143	5582
170	1147	5564
171	1159	5579
172	1164	5565
173	1173	5570
174	1180	5564
175	1191	5577
176	1196	5563
177	1207	5578
178	1221	5600
179	1228	5595
180	1235	5591
181	1244	5595
182	1250	5582
183	1255	5565
184	1263	5566
185	1267	5546
186	1271	5526
187	1279	5527
188	1283	5508
189	1291	5506
190	1296	5489
191	1300	5474
192	1309	5476
193	1316	5468
194	1326	5474
195	1331	5460
196	1340	5464
197	1350	5472
